BS;N;R;k;mode;actualMode;n_runs;avgKernelMs_med;avgKernelMs_mean;avgKernelMs_std;gflops_med;gflops_mean;cpuMs_med;sharedBytes_med;pass_rate;ops;outWidth;outHeight;estBandwidth_GBps;arithIntensity_FlopPerByte
8;2048;1;1;d;d;1;0.332698;0.332698;;113.241103;113.241103;81.546238;400.0;1.0;37675044;2046;2046;129.1226998659445;0.8770027997015936
8;2048;1;2;a;a;1;0.390082;0.390082;;96.58247;96.58247;81.546238;0.0;1.0;37675044;2046;2046;429.2549771586487;0.225
8;2048;1;2;b;b;1;0.351488;0.351488;;107.187286;107.187286;81.546238;0.0;1.0;37675044;2046;2046;476.3879278951202;0.225
8;2048;1;2;c;c;1;0.221326;0.221326;;170.223905;170.223905;81.546238;720.0;1.0;37675044;2046;2046;182.25343610782284;0.9339972726071948
8;2048;1;2;d;d;1;0.239155;0.239155;;157.533871;157.533871;81.546238;720.0;1.0;37675044;2046;2046;168.666446446865;0.9339972726071948
8;2048;1;8;a;a;1;1.491917;1.491917;;25.252777;25.252777;81.546238;0.0;1.0;37675044;2046;2046;112.23455460323866;0.225
8;2048;1;8;b;b;1;1.514234;1.514234;;24.880602;24.880602;81.546238;0.0;1.0;37675044;2046;2046;110.58042548245514;0.225
8;2048;1;8;c;c;1;0.255437;0.255437;;147.492623;147.492623;81.546238;2640.0;1.0;37675044;2046;2046;150.2184256783473;0.9818536457831657
8;2048;1;8;d;d;1;0.267674;0.267674;;140.749937;140.749937;81.546238;2640.0;1.0;37675044;2046;2046;143.3510314785896;0.9818536457831657
8;2048;20;1;a;a;1;51.376233;51.376233;;131.926753;131.926753;13635.523273;0.0;1.0;6777899584;2008;2008;528.0209351277273;0.2498513674197384
8;2048;20;1;b;b;1;45.882214;45.882214;;147.723899;147.723899;13635.523273;0.0;1.0;6777899584;2008;2008;591.2471135765157;0.2498513674197384
8;2048;20;1;c;c;1;11.51744;11.51744;;588.490113;588.490113;13635.523273;9216.0;1.0;6777899584;2008;2008;51.81233607468326;11.358108108108109
8;2048;20;1;d;d;1;22.919936;22.919936;;295.720708;295.720708;13635.523273;9216.0;1.0;6777899584;2008;2008;26.036088058884634;11.358108108108109
8;2048;20;2;a;a;1;67.744397;67.744397;;100.051073;100.051073;13635.523273;0.0;1.0;6777899584;2008;2008;400.4423656173365;0.2498513674197384
8;2048;20;2;b;b;1;56.297729;56.297729;;120.393836;120.393836;13635.523273;0.0;1.0;6777899584;2008;2008;481.8618277124465;0.2498513674197384
8;2048;20;2;c;c;1;11.401603;11.401603;;594.469008;594.469008;13635.523273;10752.0;1.0;6777899584;2008;2008;31.23867828058914;19.029902579830416
8;2048;20;2;d;d;1;45.627084;45.627084;;148.549917;148.549917;13635.523273;10752.0;1.0;6777899584;2008;2008;7.806131288162091;19.029902579830416
8;2048;20;8;a;a;1;136.81073;136.81073;;49.542164;49.542164;13635.523273;0.0;1.0;6777899584;2008;2008;198.2865422324696;0.2498513674197384
8;2048;20;8;b;b;1;141.507129;141.507129;;47.897937;47.897937;13635.523273;0.0;1.0;6777899584;2008;2008;191.7057238296454;0.2498513674197384
8;2048;20;8;c;c;1;45.753629;45.753629;;148.139061;148.139061;13635.523273;19968.0;1.0;6777899584;2008;2008;3.8578629904963386;38.399253731343286
8;2048;20;8;d;d;1;45.783133;45.783133;;148.043595;148.043595;13635.523273;19968.0;1.0;6777899584;2008;2008;3.855376869905343;38.399253731343286
8;4096;1;1;a;a;1;1.452883;1.452883;;103.826322;103.826322;326.531375;0.0;1.0;150847524;4094;4094;461.45039896536747;0.225
8;4096;1;1;b;b;1;1.551462;1.551462;;97.229251;97.229251;326.531375;0.0;1.0;150847524;4094;4094;432.13010695717975;0.225
8;4096;1;1;c;c;1;1.202944;1.202944;;125.398626;125.398626;326.531375;400.0;1.0;150847524;4094;4094;142.90020483081506;0.8775258616380839
8;4096;1;1;d;d;1;1.419973;1.419973;;106.232685;106.232685;326.531375;400.0;1.0;150847524;4094;4094;121.05930464875037;0.8775258616380839
8;4096;1;2;a;a;1;1.608525;1.608525;;93.780037;93.780037;326.531375;0.0;1.0;150847524;4094;4094;416.8001367712656;0.225
8;4096;1;2;b;b;1;1.507728;1.507728;;100.04956;100.04956;326.531375;0.0;1.0;150847524;4094;4094;444.6647140598304;0.225
8;4096;1;2;c;c;1;0.84883;0.84883;;177.712204;177.712204;326.531375;720.0;1.0;150847524;4094;4094;190.16196882768045;0.9345311900768889
8;4096;1;2;d;d;1;0.967014;0.967014;;155.993047;155.993047;326.531375;720.0;1.0;150847524;4094;4094;166.9212482963018;0.9345311900768889
8;4096;1;8;a;a;1;4.695245;4.695245;;32.127722;32.127722;326.531375;0.0;1.0;150847524;4094;4094;142.78987358487151;0.225
8;4096;1;8;b;b;1;4.80515;4.80515;;31.392884;31.392884;326.531375;0.0;1.0;150847524;4094;4094;139.523935777239;0.225
8;4096;1;8;c;c;1;1.016973;1.016973;;148.329945;148.329945;326.531375;2640.0;1.0;150847524;4094;4094;150.98814226139731;0.9823944982816899
8;4096;1;8;d;d;1;1.020979;1.020979;;147.747889;147.747889;326.531375;2640.0;1.0;150847524;4094;4094;150.39571235059682;0.9823944982816899
8;4096;20;1;a;a;1;233.028345;233.028345;;118.673802;118.673802;55528.422916;0.0;1.0;27654359616;4056;4056;474.97759557104524;0.2498513674197384
8;4096;20;1;b;b;1;209.306616;209.306616;;132.123676;132.123676;55528.422916;0.0;1.0;27654359616;4056;4056;528.8090989345507;0.2498513674197384
8;4096;20;1;c;c;1;47.212076;47.212076;;585.74759;585.74759;55528.422916;9216.0;1.0;27654359616;4056;4056;51.57087623090329;11.358108108108109
8;4096;20;1;d;d;1;94.040155;94.040155;;294.069694;294.069694;55528.422916;9216.0;1.0;27654359616;4056;4056;25.890728572278512;11.358108108108109
8;4096;20;2;a;a;1;291.693457;291.693457;;94.806239;94.806239;55528.422916;0.0;1.0;27654359616;4056;4056;379.45055109000947;0.2498513674197384
8;4096;20;2;b;b;1;243.089551;243.089551;;113.762025;113.762025;55528.422916;0.0;1.0;27654359616;4056;4056;455.31880145683436;0.2498513674197384
8;4096;20;2;c;c;1;46.76626;46.76626;;591.331438;591.331438;55528.422916;10752.0;1.0;27654359616;4056;4056;31.014359497637827;19.066375838926174
8;4096;20;2;d;d;1;186.159973;186.159973;;148.551588;148.551588;55528.422916;10752.0;1.0;27654359616;4056;4056;7.791286046222192;19.066375838926174
8;4096;20;8;a;a;1;564.283643;564.283643;;49.007906;49.007906;55528.422916;0.0;1.0;27654359616;4056;4056;196.14823924286603;0.2498513674197384
8;4096;20;8;b;b;1;588.112354;588.112354;;47.022239;47.022239;55528.422916;0.0;1.0;27654359616;4056;4056;188.20084675180962;0.2498513674197384
8;4096;20;8;c;c;1;187.003857;187.003857;;147.881226;147.881226;55528.422916;19968.0;1.0;27654359616;4056;4056;3.8166389691096043;38.74645390070922
8;4096;20;8;d;d;1;187.093347;187.093347;;147.810492;147.810492;55528.422916;19968.0;1.0;27654359616;4056;4056;3.8148134043483655;38.74645390070922
16;256;1;1;a;a;1;0.143744;0.143744;;4.039431;4.039431;1.376055;0.0;1.0;580644;254;254;17.953027604630453;0.225
16;256;1;1;b;b;1;0.144077;0.144077;;4.030101;4.030101;1.376055;0.0;1.0;580644;254;254;17.91153341615941;0.225
16;256;1;1;c;c;1;0.485834;0.485834;;1.19515;1.19515;1.376055;1296.0;1.0;580644;254;254;1.2140772362576517;0.9844093313440934
16;256;1;1;d;d;1;0.257587;0.257587;;2.254165;2.254165;1.376055;1296.0;1.0;580644;254;254;2.2898671128589565;0.9844093313440934
16;256;1;2;a;a;1;0.185242;0.185242;;3.134523;3.134523;1.376055;0.0;1.0;580644;254;254;13.931181913388974;0.225
16;256;1;2;b;b;1;0.16041;0.16041;;3.619758;3.619758;1.376055;0.0;1.0;580644;254;254;16.08777507636681;0.225
16;256;1;2;c;c;1;0.16348;0.16348;;3.551774;3.551774;1.376055;2448.0;1.0;580644;254;254;3.495277709811598;1.016163581888948
16;256;1;2;d;d;1;0.16128;0.16128;;3.600223;3.600223;1.376055;2448.0;1.0;580644;254;254;3.5429563492063494;1.016163581888948
16;256;1;8;a;a;1;0.16117;0.16117;;3.602689;3.602689;1.376055;0.0;1.0;580644;254;254;16.01191288701371;0.225
16;256;1;8;b;b;1;0.485837;0.485837;;1.195142;1.195142;1.376055;0.0;1.0;580644;254;254;5.3117403573626545;0.225
16;256;1;8;c;c;1;0.256862;0.256862;;2.260525;2.260525;1.376055;9360.0;1.0;580644;254;254;2.1707531670702562;1.041356997331344
16;256;1;8;d;d;1;0.184422;0.184422;;3.148446;3.148446;1.376055;9360.0;1.0;580644;254;254;3.0234136925095707;1.041356997331344
16;256;20;1;a;a;1;0.46744;0.46744;;167.783541;167.783541;165.485517;0.0;1.0;78428736;216;216;671.5333903816532;0.2498513674197384
16;256;20;1;b;b;1;0.440832;0.440832;;177.910716;177.910716;165.485517;0.0;1.0;78428736;216;216;712.0662020905922;0.2498513674197384
16;256;20;1;c;c;1;0.159675;0.159675;;491.176674;491.176674;165.485517;12544.0;1.0;78428736;216;216;16.566450602786908;29.648916094067552
16;256;20;1;d;d;1;0.361574;0.361574;;216.908978;216.908978;165.485517;12544.0;1.0;78428736;216;216;7.3159242644659175;29.648916094067552
16;256;20;2;a;a;1;0.556954;0.556954;;140.817355;140.817355;165.485517;0.0;1.0;78428736;216;216;563.6041181138838;0.2498513674197384
16;256;20;2;b;b;1;0.554835;0.554835;;141.355017;141.355017;165.485517;0.0;1.0;78428736;216;216;565.7566087215118;0.2498513674197384
